tema,subtema,texto,categorías,resumen_explicativo
"Contexto  social, histórico, político y económico de la ley 100 de 1993",¿Qué es la Ley 100 de 1993 en Colombia?,"La Ley 100 de 1993 reestructuró el sistema de protección social en Colombia creando el Sistema General de Seguridad Social (SGSSS) para salud, pensiones y riesgos profesionales. Instituyó regímenes contributivo y subsidiado, permitió la participación de administradores privados (EPS, AFP) junto con entidades públicas, definió planes de beneficios y estableció mecanismos de financiación mixta basados en cotizaciones y subsidios. Se crearon entidades reguladoras y de supervisión, y se introdujo competencia entre administradores con el objetivo de ampliar cobertura y modernizar la gestión, aunque surgieron tensiones sobre equidad, sostenibilidad y acceso efectivo.","reestructuró protección social — Sistema General de Seguridad Social (salud, pensiones, riesgos profesionales); instituyó regímenes contributivo y subsidiado; permitió participación de administradores privados (EPS, AFP) y entidades públicas; definió planes de beneficios; financiación mixta (cotizaciones + subsidios); creó reguladores y supervisores; introdujo competencia para ampliar cobertura y modernizar gestión; tensiones: equidad, sostenibilidad y acceso efectivo.","La Ley 100 de 1993 creó el Sistema General de Seguridad Social en Salud, pensiones y riesgos profesionales en Colombia. Fue aprobada para reformar y ampliar la cobertura de seguridad social, introduciendo esquemas contributivos y subsidiados y promoviendo la participación de administradores privados (EPS, AFP/Colpensiones) junto con entidades públicas."
"Contexto  social, histórico, político y económico de la ley 100 de 1993",¿Cuál fue el contexto histórico que motivó la Ley 100?,"A comienzos de los años 90 Colombia enfrentaba una combinación de problemas fiscales, sociales y estructurales que impulsaron la reforma de la seguridad social. Varios fondos y cajas de previsión acumulaban déficits por gasto creciente, baja eficiencia administrativa y una base cotizante erosionada por la informalidad laboral, lo que comprometía la sostenibilidad del modelo de reparto. Al mismo tiempo, crecían las demandas sociales de acceso a salud y pensiones entre trabajadores informales, campesinos y hogares de bajos ingresos, revelando una brecha entre afiliación nominal y acceso efectivo. En el plano ideológico y regional, la ola de reformas neoliberales en América Latina promovía privatizaciones, apertura de mercados y un menor rol directo del Estado —ideas que influyeron en el diseño de políticas públicas—; modelos extranjeros (por ejemplo, reformas previsionales basadas en cuentas individuales) se tomaron como referencia. Para responder a estos desafíos se buscó modernizar el Estado mediante profesionalización de la gestión pública, creación de reguladores y transferencia de operaciones a administradores especializados (EPS/AFP), con la expectativa de aumentar eficiencia, atraer inversión y aliviar presiones fiscales. Sin embargo, estas soluciones técnicas implicaron trade‑offs: el alivio fiscal fue parcial (los costos de supervisión, subsidios y transición permanecieron), la dependencia de la formalidad se fortaleció y surgieron riesgos de segmentación entre regímenes y de falla regulatoria si el Estado no fortalecía su capacidad de supervisión.","Problemas fiscales y administrativos + informalidad laboral → demanda de acceso efectivo; influencia de reformas neoliberales (cuentas individuales); respuesta: modernizar estado y transferir operaciones a EPS/AFP, crear reguladores; resultados/tensions: eficiencia parcial, costos de transición y subsidios, mayor dependencia de la formalidad y riesgo de segmentación.","A principios de los años 90 Colombia enfrentaba crecientes demandas de cobertura social, déficit fiscal en las cajas de previsión, preocupación por la sostenibilidad del sistema de pensiones y la necesidad de modernizar el Estado. La ola de reformas neoliberales en América Latina y la búsqueda de eficiencia mediante la competencia y la privatización influyeron en su diseño."
"Contexto  social, histórico, político y económico de la ley 100 de 1993",¿Qué problemas buscaba resolver históricamente la Ley 100?,"La Ley 100 cambió la relación entre individuo, mercado y Estado al transformar la seguridad social de un derecho administrado solo por el Estado a un sistema mixto donde la aportación individual y la afiliación a actores privados ganaron protagonismo. Introdujo cuentas individuales y administradores privados, lo que individualizó el riesgo (vejez, enfermedad) y vinculó la protección a la capacidad de cotizar y al historial laboral. Esto transformó al trabajador en afiliado/cliente y alteró las identidades laborales y las formas de solidaridad: la redistribución universal fue reemplazada parcialmente por mecanismos focalizados y subsidios, generando nuevos patrones de segmentación y expectativas sobre servicios. Además aumentó la litigiosidad y la demanda de calidad, y abrió debates sobre la redefinición de derechos sociales.",Relación individuo‑mercado‑Estado; Individualización del riesgo; Identidad laboral; Solidaridad; Litigiosidad,"Introdujo nuevos modos de relación entre individuo, mercado y Estado: la seguridad social dejó de ser únicamente un derecho administrado por el Estado y se orientó hacia un modelo mixto donde la aportación individual y la afiliación a actores privados cobran mayor peso, afectando identidades laborales y la percepción de riesgos colectivos."
"Contexto  social, histórico, político y económico de la ley 100 de 1993",¿Cómo transformó la protección social en términos sociológicos?,"La Ley 100 amplió formalmente las afiliaciones mediante mecanismos de registro, EPS y subsidios, pero la segmentación entre régimen contributivo y subsidiado produjo desigualdades persistentes en calidad y acceso. El régimen contributivo, financiado por aportes de trabajadores y empleadores, suele destinar mayores recursos por afiliado y ofrecer mayor acceso a redes privadas. El régimen subsidiado, financiado con recursos públicos y focalizado en población vulnerable, enfrenta restricciones presupuestales, menor oferta en zonas rurales y tiempos de espera mayores. La alta informalidad laboral limita la base de cotizantes y deja a muchos sin aportes regulares, con cotizaciones intermitentes que impiden acceder a prestaciones contributivas, reproduciendo vulnerabilidades y desigualdades estructurales.",Ampliación de afiliaciones; Segmentación entre regímenes; Desigualdad en acceso y calidad; Informalidad laboral; Vulnerabilidad,"Si bien amplió afiliaciones formales, generó desigualdades: la segmentación entre regímenes contributivo y subsidiado mantuvo diferencias en calidad y acceso; la informalidad laboral limitó la cobertura real de quienes no pueden cotizar regularmente."
"Contexto  social, histórico, político y económico de la ley 100 de 1993",¿Qué efectos tuvo sobre la equidad y el acceso?,"La Ley 100 reforzó la condicionalidad de derechos a la relación laboral formal y al aporte, condicionando prestaciones a aportes regulares y estatus laboral formal. Esto incentivó la formalización en algunos sectores, aumentando afiliaciones en empleos urbanos y formales, pero también aumentó vulnerabilidades para trabajadores informales y precarios que cotizan de forma intermitente o no cotizan. Modalidades atípicas de contratación y evasión patronal profundizaron la precariedad, y el régimen subsidiado ofreció protección parcial pero con limitaciones en financiamiento y oferta.",Condicionalidad de derechos; Incentivos a la formalización; Vulnerabilidad de informales; Precariedad laboral; Régimen subsidiado,"Se reforzó la condicionalidad de derechos a la relación laboral formal y al aporte. Esto incentivó la formalización en algunos sectores, pero también aumentó vulnerabilidades para trabajadores informales y precarios que no cotizan o cotizan de forma intermitente."
"Contexto  social, histórico, político y económico de la ley 100 de 1993",¿Cómo afectó la relación empleo-protección social?,"La Ley 100 creó el Sistema General de Seguridad Social en Salud (SGSSS), estableció las EPS como administradoras de la afiliación y la contratación de prestadores, introdujo el Plan Obligatorio de Salud (POS) —luego transformado en el Régimen de Beneficios— y definió mecanismos de financiación mediante cotizaciones, subsidios y fondos de garantía. Las EPS gestionan afiliaciones, cobran aportes, organizan redes de prestadores y autorizan servicios; el POS definía el paquete mínimo de prestaciones, sujeto a ajustes normativos y jurisprudenciales. Los flujos de recursos entre cotizaciones y transferencias públicas y los mecanismos de compensación entre regímenes han sido fuente de tensiones operativas y financieras.",Creación del SGSSS; EPS; POS/Régimen de Beneficios; Financiamiento por cotizaciones y subsidios; Mecanismos de compensación,"Creó el Sistema General de Seguridad Social en Salud (SGSSS), las EPS (Entidades Promotoras de Salud), el POS (Plan Obligatorio de Salud, luego sustituido por el POS con cambios y finalmente por el Régimen de Beneficios), y definió mecanismos de financiación mediante cotizaciones, subsidios y recursos de garantías."
"Contexto  social, histórico, político y económico de la ley 100 de 1993",¿Qué cambios jurídicos claves introdujo la Ley 100 en salud?,"La Ley 100 dividió el sistema de pensiones en dos regímenes: el Régimen de Prima Media (administrado por la entidad pública Colpensiones) y los Regímenes de Ahorro Individual con Solidaridad administrados por AFP privadas. Estableció reglas de transición y reconocimiento de aportes previos, requisitos de edad y semanas cotizadas, y mecanismos de solidaridad intergeneracional en el RPM y de garantía mínima y coberturas por riesgo en los RAIS. El cálculo de pensión difiere: en el RPM se usan fórmulas públicas basadas en salario y semanas; en los RAIS depende del saldo acumulado, rentabilidad y tipo de renta elegida. La coexistencia de regímenes generó tensiones sobre suficiencia de pensiones, movilidad entre regímenes y costos de transición.",División de regímenes; Colpensiones; AFP y cuentas individuales; Reglas de transición; Requisitos de pensión; Cálculo de pensión,"Dividió el sistema en dos regímenes: el Régimen de Prima Media (Colpensiones) y los Regímenes de Ahorro Individual con Solidaridad administrados por AFP privadas; estableció reglas de transición, requisitos de edad y semanas cotizadas, y mecanismos de solidaridad intergeneracional y de cálculo de pensión."
"Contexto  social, histórico, político y económico de la ley 100 de 1993",¿Qué innovaciones jurídicas trajo en pensiones?,"Tras la Ley 100 aumentó notablemente la litigiosidad por fallos en provisión de servicios y negación de prestaciones. Las tutelas y acciones de cumplimiento se convirtieron en vías frecuentes para exigir medicamentos, tratamientos y prestaciones negadas por EPS; la Corte Constitucional y otros tribunales han interpretado el derecho a la salud de manera expansiva, obligando al Estado a garantizar atención cuando las EPS no cumplen. Esta judicialización presionó financieramente al sistema, impulsó cambios normativos y evidenció desigualdades procesales entre quienes pueden litigar y quienes no.",Aumento de litigios (tutelas); Jurisprudencia constitucional; Obligación estatal; Judicialización; Desigualdad procesal,"Generó múltiples demandas de tutela y acciones de cumplimiento por fallos en provisión de servicios, negación de prestaciones y diferencias entre regímenes. Jurisprudencia constitucional ha interpretado y ampliado derechos, obligando al Estado a garantizar atención cuando EPS no cumplen."
"Contexto  social, histórico, político y económico de la ley 100 de 1993",¿Qué consecuencias legales y litigiosas tuvo la Ley 100?,"La Ley 100 reorientó la política social hacia un mercado regulado: el Estado pasó de ser proveedor directo a regulador y comprador, contratando con privados mediante EPS, AFP y contratos de prestación. Se fortalecieron marcos de supervisión (Ministerio de Salud, Superintendencias) y se crearon instrumentos regulatorios (acreditación, requisitos de solvencia, sanciones). La gobernanza se volvió más compleja y fragmentada entre actores nacionales, territoriales, privados y públicos con intereses distintos, dificultando coordinación y aumentando riesgos de captura regulatoria y fallas de mercado si no se reforzaba la capacidad estatal.",Mercado regulado; Supervisión y regulación; Gobernanza fragmentada; Coordinación territorial; Riesgo de captura,"Reorientó la política social hacia modelos de mercado regulado, creando marcos para supervisión (Ministerio de Salud, Superintendencias) y contratos entre Estado y privados. La gobernanza se volvió más compleja, fragmentada entre actores estatales y privados con intereses distintos."
"Contexto  social, histórico, político y económico de la ley 100 de 1993",¿Cómo influyó la Ley 100 en la política pública y la gobernanza?,"Con la Ley 100 las cotizaciones laborales se convirtieron en la base del financiamiento, complementadas por subsidios públicos para incluir población vulnerable. Esto redujo parcialmente la presión sobre el gasto público directo y las cajas deficitarias, pero creó dependencia de la formalidad laboral como fuente de recursos y nuevos retos para financiar cobertura universal sin aumentar el déficit. La sostenibilidad requiere diversificar fuentes (impuestos generales, cofinanciación), mejorar formalización y diseñar mecanismos de compensación robustos para evitar subfinanciamiento y retrasos en pagos a prestadores.",Financiamiento por cotizaciones; Subsidios públicos; Alivio fiscal parcial; Dependencia de la formalidad; Retos de sostenibilidad,"Las cotizaciones laborales pasaron a ser la base de financiamiento, complementadas por recursos públicos para subsidios. Esto alivió en parte presiones fiscales históricas, pero generó nueva dependencia de la formalidad y retos para financiar la cobertura universal sin aumentar déficit."
"Contexto  social, histórico, político y económico de la ley 100 de 1993",¿Qué impacto tuvo en la financiación del Estado?,"La Ley 100 fue criticada por mercantilizar la salud y las pensiones al introducir lógicas de mercado y administración privada, generar segmentación y desigualdad entre regímenes, favorecer intereses privados y producir fallas de acceso y cobertura efectiva. Se le atribuye además diseñar incentivos que no resuelven completamente la informalidad laboral y que pueden incentivar selección de riesgo y restricciones en prestaciones costosas.",Críticas: mercantilización; Segmentación; Intereses privados; Fallas de acceso; Informalidad no resuelta,"Se le critica por mercantilizar la salud y las pensiones, generar segmentación y desigualdad, favorecer intereses privados, producir fallas de acceso y cobertura efectiva, y por diseñar incentivos que no resuelven completamente la informalidad laboral."
"Contexto  social, histórico, político y económico de la ley 100 de 1993",¿Cuáles son las críticas sociopolíticas principales a la Ley 100?,"Defensores de la Ley 100 argumentan que amplió la afiliación formal, modernizó la administración del sistema, introdujo competencia que puede mejorar eficiencia, ofreció opciones de ahorro individual en pensiones y alivió parcialmente la presión fiscal al trasladar financiación a cotizaciones; además creó marcos regulatorios para supervisión y control de actores privados.",Defensas: expansión de cobertura; Modernización administrativa; Eficiencia por competencia; Ahorro individual; Alivio fiscal; Regulación,"Sus defensores argumentan expansión de cobertura formal, modernización administrativa, mayor eficiencia por competencia, opciones de ahorro individual y alivio fiscal para el Estado, además de marcos regulatorios que permiten supervisión."
"Contexto  social, histórico, político y económico de la ley 100 de 1993",¿Qué defensas y argumentos a favor existieron y existen?,"Desde 1993 se han introducido reformas parciales: ajustes en el plan de beneficios, cambios en requisitos de pensión, sentencias constitucionales que ampliaron derechos y políticas públicas para ampliar el régimen subsidiado. Sin embargo, el modelo básico (sistema mixto con regímenes contributivo y subsidiado, EPS/AFP y financiamiento por cotizaciones) no fue derogado y el debate por una reforma integral persiste, con propuestas que van desde ajustes paramétricos hasta cambios estructurales mayores.",Reformas parciales; Ajustes en beneficios; Jurisprudencia; Ampliación del subsidiado; Debate por reforma integral,"Desde 1993 se han hecho reformas parciales—ajustes en beneficios, cambios en requisitos de pensión, sentencias constitucionales que garantizan derechos, y políticas públicas para ampliar el régimen subsidiado—sin derogar el modelo básico. El debate por su reforma integral persiste."
"Contexto  social, histórico, político y económico de la ley 100 de 1993",¿Cómo ha evolucionado la legislación y las reformas posteriores?,"Las reformas integrales intentan compatibilizar sostenibilidad financiera y cobertura efectiva, pero enfrentan trade‑offs entre eficiencia (mercado/competencia) y equidad (redistribución y universalidad). El éxito depende del diseño institucional, la fortaleza regulatoria, la capacidad estatal para corregir fallas de mercado y de encontrar consensos políticos y financiamiento estable.",Reformas integrales; Trade‑offs eficiencia vs equidad; Diseño institucional; Fortaleza regulatoria; Capacidad estatal,"Muestra que reformas integrales buscan compatibilizar sostenibilidad financiera y cobertura, pero enfrentan trade-offs entre eficiencia y equidad. El diseño institucional, la fortaleza regulatoria y la capacidad estatal para corregir fallas de mercado condicionan su éxito político y social."
"Contexto  social, histórico, político y económico de la ley 100 de 1993",¿Qué lecciones politológicas da la Ley 100 sobre reformas sociales en países en desarrollo?,"Para garantizar cobertura efectiva a la informalidad, reducir brechas entre regímenes, financiar pensiones ante el envejecimiento y balancear provisión pública y privada sin sacrificar derechos, conviene combinar medidas: cotizaciones flexibles y adaptadas a informales; subsidios y cofinanciación; afiliación simplificada; paquete básico universal financiado con impuestos; fondos de compensación; diversificación de fuentes de financiamiento; ajustes paramétricos graduales; regulación fuerte y provisión pública estratégica en servicios críticos; y mecanismos de rendición de cuentas y protección legal.",Políticas para informales; Homogeneización de beneficios; Financiamiento sostenible; Balance público‑privado; Regulación y supervisión,"Cómo garantizar cobertura efectiva a la informalidad, reducir brechas entre regímenes, financiar sosteniblemente las pensiones ante envejecimiento, y balancear provisión pública y privada sin sacrificar derechos fundamentales."
"Contexto  social, histórico, político y económico de la ley 100 de 1993",¿Qué es la Ley 100 de 1993 en Colombia?,"Qué estableció
La Ley 100 de 1993 creó el Sistema General de Seguridad Social en Colombia, integrando salud, pensiones y riesgos profesionales bajo un marco legal común.
Objetivos y reforma estructural:  Ampliar cobertura: incorporar a población no protegida mediante regímenes distintos (contributivo y subsidiado). Modernizar gestión: introducir mecanismos administrativos y de mercado para organizar afiliación, recaudo y prestación. Finanzas mixtas: combinar cotizaciones laborales con recursos públicos para subsidiar a los más vulnerables.
Actores y esquemas introducidos: Régimen contributivo y Régimen subsidiado: dos vías paralelas de afiliación según capacidad de pago. Salud: creación de las EPS que administran afiliaciones, cobran cotizaciones y contratan prestadores; definición de un plan de beneficios (POS → Régimen de Beneficios). Pensiones: coexistencia de AFP privadas (cuentas individuales) y el régimen público de prima media administrado por Colpensiones. Riesgos profesionales: aseguramiento de accidentes de trabajo y enfermedades laborales mediante administradores especializados.
Mecanismos de financiación y gobierno: Financiamiento: aportes de trabajadores y empleadores (cotizaciones) más subsidios públicos para el régimen subsidiado y mecanismos de compensación entre regímenes. Regulación y supervisión: funciones del Estado (Ministerios, Superintendencias) para normar, supervisar y sancionar a administradores y prestadores. Impacto esperado y tensiones concretas: Avances: expansión de afiliaciones formales y modernización administrativa. Tensiones: segmentación entre regímenes, dependencia de la formalidad laboral, problemas de acceso efectivo y desafíos de sostenibilidad financiera para garantizar cobertura universal.
","sistema de seguridad social (salud, pensiones, riesgos); objetivos y reforma estructural (ampliar cobertura — regímenes contributivo y subsidiado; modernizar gestión; finanzas mixtas); actores y esquemas (EPS, POS/Régimen de Beneficios; AFP y Colpensiones; aseguradores de riesgos profesionales); financiación y gobierno (cotizaciones + subsidios; compensación interregímenes; regulación por Ministerios y Superintendencias); impacto y tensiones (expansión afiliaciones — segmentación, dependencia de formalidad, acceso efectivo y sostenibilidad financiera).","La Ley 100 de 1993 creó el Sistema General de Seguridad Social en Salud, pensiones y riesgos profesionales en Colombia. Fue aprobada para reformar y ampliar la cobertura de seguridad social, introduciendo esquemas contributivos y subsidiados y promoviendo la participación de administradores privados (EPS, AFP/Colpensiones) junto con entidades públicas."
"Contexto  social, histórico, político y económico de la ley 100 de 1993",¿Cuál fue el contexto histórico que motivó la Ley 100?,"Contexto económico y fiscal: A comienzos de los 90 varias cajas de previsión y fondos públicos enfrentaban déficits fiscales acumulados por años de gasto creciente y mala gestión, lo que presionaba al presupuesto nacional y a las finanzas territoriales. La insostenibilidad financiera percibida del modelo de reparto público tradicional (pago de pensiones con cotizaciones actuales) generó urgencia por reformar el sistema.
Demandas sociales y mercado laboral: Crecían las demandas de acceso a salud y pensiones de poblaciones históricamente excluidas (trabajadores informales, campesinos, hogares de bajos ingresos), mostrando una brecha entre afiliación nominal y acceso efectivo. Altos niveles de informalidad laboral y cotizaciones intermitentes reducían la base de aportantes y aumentaban la presión sobre el sistema contributivo.
Influencia de la agenda neoliberal regional: En América Latina se impuso en esos años una corriente política‑económica que promovía privatización, apertura de mercados y reducción del tamaño del Estado; ese marco ideológico validó reformas estructurales en seguridad social. Modelos extranjeros (como el de pensiones chileno) sirvieron de referencia para la introducción de cuentas individuales administradas por privadas (AFP) y para introducir lógicas de competencia en la prestación de servicios.
Búsqueda de eficiencia y modernización estatal: El diagnóstico oficial enfatizaba la necesidad de “modernizar” la administración pública: profesionalizar gestión, crear reguladores independientes y delegar operaciones a actores especializados para mejorar eficiencia y controlar déficits. Se promovieron soluciones basadas en mercado regulado: aseguradores privados (EPS/AFP) administrando recursos y servicios bajo supervisión estatal.
Tensión entre objetivos técnicos y consecuencias sociales: La propuesta técnica buscaba combinar sostenibilidad fiscal y expansión de cobertura; en la práctica surgieron trade‑offs: alivio fiscal parcial frente a continuidad de vulnerabilidades para informales, riesgos de segmentación entre regímenes y presión sobre la regulación para evitar fallas de mercado.
Resultado político‑institucional: La confluencia de déficits fiscales, demandas sociales y una agenda regional pro‑mercado creó un contexto propicio para aprobar una reforma amplia (Ley 100) que reconfiguró roles del Estado, del mercado y de los individuos en la seguridad social.
","sistema de seguridad social (salud, pensiones, riesgos); objetivos y reforma estructural (ampliar cobertura — regímenes contributivo y subsidiado; modernizar gestión; finanzas mixtas); actores y esquemas (EPS, POS/Régimen de Beneficios; AFP y Colpensiones; aseguradores de riesgos profesionales); financiación y gobierno (cotizaciones + subsidios; compensación interregímenes; regulación por Ministerios y Superintendencias); impacto y tensiones (expansión afiliaciones — segmentación, dependencia de formalidad, acceso efectivo y sostenibilidad financiera).","A principios de los años 90 Colombia enfrentaba crecientes demandas de cobertura social, déficit fiscal en las cajas de previsión, preocupación por la sostenibilidad del sistema de pensiones y la necesidad de modernizar el Estado. La ola de reformas neoliberales en América Latina y la búsqueda de eficiencia mediante la competencia y la privatización influyeron en su diseño."
"Contexto  social, histórico, político y económico de la ley 100 de 1994",Estructura Detallada de la Ley 100 de 1993,"Título I: Disposiciones Generales
Capítulo I: Objeto y Principios
Artículos 1 a 3: Definen el objeto de la ley y los principios que rigen el sistema de seguridad social integral.
Capítulo II: Definiciones
Artículos 4 a 7: Establecen definiciones clave para la interpretación de la ley.
Título II: Sistema de Seguridad Social Integral
Capítulo I: Sistema General de Salud
Artículos 8 a 20: Regulan el acceso, la cobertura, la financiación y la organización del sistema de salud.
Capítulo II: Sistema General de Pensiones
Artículos 21 a 36: Abordan la organización, administración, beneficios, y modalidades del sistema de pensiones.
Capítulo III: Sistema General de Riesgos Laborales
Artículos 37 a 46: Establecen disposiciones sobre la prevención, atención y compensación de riesgos laborales.
Título III: Régimen de Transición
Capítulo I: Disposiciones Generales
Artículos 47 a 50: Regulan la transición de los sistemas anteriores al nuevo sistema establecido por la ley.
Título IV: Disposiciones Finales
Capítulo I: Vigencia y Derogatorias
Artículos 51 a 53: Determinan la vigencia de la ley y las normas que se derogan.
Título V: Disposiciones Especiales
Capítulo I: Salud Pública
Artículos 54 a 56: Abordan aspectos relacionados con la salud pública y la promoción de la salud.
Título VI: Disposiciones sobre la Administración del Sistema
Capítulo I: Entidades Administradoras
Artículos 57 a 63: Regulan las entidades encargadas de administrar los diferentes sistemas de seguridad social.
Título VII: Disposiciones sobre la Financiación
Capítulo I: Recursos del Sistema
Artículos 64 a 70: Establecen las fuentes de financiación del sistema de seguridad social.
Título VIII: Disposiciones sobre la Protección a Grupos Vulnerables
Capítulo I: Protección a la Población Vulnerable
Artículos 71 a 75: Abordan la protección y atención a grupos en situación de vulnerabilidad.",Disposiciones Generales; Sistema de Seguridad Social Integral; Régimen de Transición; Disposiciones Finales; Disposiciones Especiales; Administración del Sistema; Financiación; Protección a Grupos Vulnerables.,"La Ley 100 de 1993 es un marco normativo fundamental en Colombia que establece el Sistema de Seguridad Social Integral. Su estructura se organiza en títulos y capítulos que abordan diferentes aspectos de la seguridad social, incluyendo salud, pensiones y riesgos laborales. A continuación, se presenta un resumen de su estructura:"
